%time,field.header.seq,field.header.stamp,field.header.frame_id,field.unique_id,field.steer_angle,field.kph,field.wheel_speed,field.engine_rpm,field.gear_location,field.drivingMode,field.brake_pedal,field.accel_pedal,field.left_signal,field.right_signal,field.is_aeb,field.is_estop,field.is_emergency,field.cmd_vel
1744954259662921309,191872,0,,1,-2.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954259682855862,191873,0,,1,-2.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954259702982325,191874,0,,1,-2.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954259723181010,191875,0,,1,-2.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954259742862514,191876,0,,1,-2.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954259762855418,191877,0,,1,-1.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954259782897568,191878,0,,1,-2.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954259802841298,191879,0,,1,-2.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954259822836031,191880,0,,1,-2.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954259842860330,191881,0,,1,-2.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954259862786037,191882,0,,1,-2.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954259882866018,191883,0,,1,-2.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954259902960609,191884,0,,1,-2.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954259922859402,191885,0,,1,-2.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954259942860402,191886,0,,1,-2.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954259962845899,191887,0,,1,-2.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954259982787323,191888,0,,1,-2.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954260002855259,191889,0,,1,-2.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954260022853322,191890,0,,1,-2.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954260042860004,191891,0,,1,-2.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954260062932090,191892,0,,1,-2.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954260085036357,191893,0,,1,-2.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260103720414,191894,0,,1,-2.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260123387637,191895,0,,1,-2.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260143672490,191896,0,,1,-2.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260162826523,191897,0,,1,-2.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260183019950,191898,0,,1,-2.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260202964567,191899,0,,1,-2.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260223050825,191900,0,,1,-2.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260242871822,191901,0,,1,-2.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260263417709,191902,0,,1,-2.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260282876718,191903,0,,1,-2.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260304166377,191904,0,,1,-2.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260323024785,191905,0,,1,-2.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260342871362,191906,0,,1,-2.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260363179556,191907,0,,1,-1.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260382833602,191908,0,,1,-2.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260403490033,191909,0,,1,-2.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260422875644,191910,0,,1,-2.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260442953079,191911,0,,1,-2.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260463010127,191912,0,,1,-2.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260482969038,191913,0,,1,-2.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260502910627,191914,0,,1,-2.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260523265399,191915,0,,1,-2.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260542925283,191916,0,,1,-2.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260562837021,191917,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260583968785,191918,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260603679898,191919,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260623169405,191920,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260643004641,191921,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260662754216,191922,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260682799916,191923,0,,1,-1.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260703169481,191924,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260723159089,191925,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260743158395,191926,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260763178562,191927,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260783537208,191928,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260803413882,191929,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260822857436,191930,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260842918474,191931,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260862992639,191932,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260882883784,191933,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260903344227,191934,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260922908881,191935,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260943366372,191936,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260962873072,191937,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954260983030722,191938,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261003125521,191939,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261023500316,191940,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261042956717,191941,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261062861113,191942,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261082826528,191943,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261103068820,191944,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261122977009,191945,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261142936733,191946,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261162962503,191947,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261182927681,191948,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261203078319,191949,0,,1,-2.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261223176273,191950,0,,1,-1.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261242842621,191951,0,,1,-1.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261262984125,191952,0,,1,-1.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261282854785,191953,0,,1,-1.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261302971738,191954,0,,1,0.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261322996628,191955,0,,1,0.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261342864977,191956,0,,1,0.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261363039315,191957,0,,1,0.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261383515662,191958,0,,1,0.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261402893320,191959,0,,1,0.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261423172390,191960,0,,1,0.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261443567948,191961,0,,1,0.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261462962317,191962,0,,1,0.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261483043265,191963,0,,1,0.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261502913965,191964,0,,1,0.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261522824554,191965,0,,1,0.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261543118185,191966,0,,1,0.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261562880800,191967,0,,1,0.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261583780793,191968,0,,1,0.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261603319411,191969,0,,1,0.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261623657155,191970,0,,1,0.0,5.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261645688328,191971,0,,1,0.0,5.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261664060913,191972,0,,1,0.0,5.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261683268694,191973,0,,1,0.0,5.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261702834737,191974,0,,1,0.0,5.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261723199686,191975,0,,1,0.0,5.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261742886751,191976,0,,1,0.0,5.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261762965951,191977,0,,1,-1.0,6.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261783757864,191978,0,,1,-2.0,6.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261803334712,191979,0,,1,-4.0,6.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261822934795,191980,0,,1,-6.0,6.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261843174071,191981,0,,1,-8.0,6.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261862978295,191982,0,,1,-8.0,6.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261882867786,191983,0,,1,-9.0,6.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261903271815,191984,0,,1,-9.0,6.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261923932543,191985,0,,1,-8.0,7.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261943386789,191986,0,,1,-7.0,7.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261962846444,191987,0,,1,-6.0,7.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954261983217142,191988,0,,1,-5.0,7.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954262003456136,191989,0,,1,-4.0,7.0,80.0,1.6,4,1,1,0,0,0,0,0,0,-1
1744954262022923158,191990,0,,1,-4.0,7.0,80.0,22.4,4,1,1,0,0,0,0,0,0,-1
1744954262043517185,191991,0,,1,-4.0,7.0,80.0,173.6,4,1,1,0,0,0,0,0,0,-1
1744954262062869545,191992,0,,1,-4.0,7.0,80.0,174.4,4,1,1,0,0,0,0,0,0,-1
1744954262083452851,191993,0,,1,-4.0,7.0,80.0,232.4,4,1,1,0,0,0,0,0,0,-1
1744954262102956252,191994,0,,1,-5.0,7.0,80.0,320.8,4,1,1,0,0,0,0,0,0,-1
1744954262123122617,191995,0,,1,-7.0,8.0,80.0,389.2,4,1,1,0,0,0,0,0,0,-1
1744954262142860086,191996,0,,1,-8.0,8.0,80.0,543.2,4,1,1,0,0,0,0,0,0,-1
1744954262164283863,191997,0,,1,-11.0,8.0,80.0,664.4,4,1,1,0,0,0,0,0,0,-1
1744954262182821606,191998,0,,1,-11.0,8.0,80.0,765.2,4,1,1,0,0,0,0,0,0,-1
