%time,field.header.seq,field.header.stamp,field.header.frame_id,field.unique_id,field.steer_angle,field.kph,field.wheel_speed,field.engine_rpm,field.gear_location,field.drivingMode,field.brake_pedal,field.accel_pedal,field.left_signal,field.right_signal,field.is_aeb,field.is_estop,field.is_emergency,field.cmd_vel
1744954743682857075,216073,0,,1,0.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954743702792606,216074,0,,1,0.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954743723353179,216075,0,,1,0.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954743742837000,216076,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954743763176020,216077,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954743783146577,216078,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954743802848131,216079,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954743822776076,216080,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954743842798734,216081,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954743862942012,216082,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954743882946883,216083,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954743902839222,216084,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954743922863746,216085,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954743942810247,216086,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954743962855321,216087,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954743982931580,216088,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954744002916605,216089,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954744022852898,216090,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954744042897426,216091,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954744063620309,216092,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954744082912324,216093,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954744102920066,216094,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954744125383739,216095,0,,1,0.0,2.0,80.0,0.0,4,1,0,0,0,0,0,0,0,-1
1744954744142871657,216096,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954744162854685,216097,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954744182755983,216098,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954744202820241,216099,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954744222875682,216100,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954744242870107,216101,0,,1,0.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954744262812534,216102,0,,1,0.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954744282903143,216103,0,,1,0.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954744302782487,216104,0,,1,0.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
