%time,field.header.seq,field.header.stamp,field.header.frame_id,field.unique_id,field.steer_angle,field.kph,field.wheel_speed,field.engine_rpm,field.gear_location,field.drivingMode,field.brake_pedal,field.accel_pedal,field.left_signal,field.right_signal,field.is_aeb,field.is_estop,field.is_emergency,field.cmd_vel
1744954843822842688,221080,0,,1,7.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954843843316787,221081,0,,1,6.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954843862883101,221082,0,,1,4.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954843882847797,221083,0,,1,3.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954843902799522,221084,0,,1,2.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954843922826633,221085,0,,1,1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954843942797610,221086,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954843962849637,221087,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954843982987975,221088,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844002914335,221089,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844022844132,221090,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844044637719,221091,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844062857426,221092,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844082952278,221093,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844102850667,221094,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844122943815,221095,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844142887727,221096,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844162848934,221097,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844182957179,221098,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844202924824,221099,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844222908747,221100,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844243027531,221101,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844262828602,221102,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844282851309,221103,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844302882114,221104,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844322852145,221105,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844342822324,221106,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844362854886,221107,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844383160317,221108,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844404520358,221109,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844422800241,221110,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844442925558,221111,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844463028156,221112,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844482809813,221113,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844503553748,221114,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844522839974,221115,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844542891980,221116,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844562903376,221117,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844582931189,221118,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844605289238,221119,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844622883584,221120,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844643569270,221121,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844662990787,221122,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844682910076,221123,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844703031820,221124,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844723076177,221125,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844743228964,221126,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844762943502,221127,0,,1,0.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844782806481,221128,0,,1,0.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844803019689,221129,0,,1,0.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844823051092,221130,0,,1,0.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844843601712,221131,0,,1,0.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844862936974,221132,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844882914664,221133,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844902971826,221134,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844922912306,221135,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844942891732,221136,0,,1,0.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844962870940,221137,0,,1,0.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954844983242709,221138,0,,1,0.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954845003160357,221139,0,,1,0.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954845024248001,221140,0,,1,0.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954845043049771,221141,0,,1,0.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954845063131982,221142,0,,1,0.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954845083013792,221143,0,,1,0.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954845115687343,221144,0,,1,0.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954845123968567,221145,0,,1,0.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954845143204037,221146,0,,1,0.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954845163170993,221147,0,,1,0.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954845183162083,221148,0,,1,0.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954845202853159,221149,0,,1,0.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954845222917010,221150,0,,1,0.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
