%time,field.header.seq,field.header.stamp,field.header.frame_id,field.unique_id,field.steer_angle,field.kph,field.wheel_speed,field.engine_rpm,field.gear_location,field.drivingMode,field.brake_pedal,field.accel_pedal,field.left_signal,field.right_signal,field.is_aeb,field.is_estop,field.is_emergency,field.cmd_vel
1744953992822856345,178530,0,,1,4.0,17.0,80.0,1685.6,4,1,1,0,0,0,0,0,0,-1
1744953992842832786,178531,0,,1,4.0,17.0,80.0,1683.6,4,1,1,0,0,0,0,0,0,-1
1744953992862885306,178532,0,,1,4.0,17.0,80.0,1689.2,4,1,1,0,0,0,0,0,0,-1
1744953992882864734,178533,0,,1,4.0,17.0,80.0,1693.2,4,1,1,0,0,0,0,0,0,-1
1744953992903065574,178534,0,,1,4.0,17.0,80.0,1694.4,4,1,1,0,0,0,0,0,0,-1
1744953992922896400,178535,0,,1,4.0,17.0,80.0,1696.8,4,1,1,0,0,0,0,0,0,-1
1744953992943430228,178536,0,,1,4.0,17.0,80.0,1700.8,4,1,1,0,0,0,0,0,0,-1
1744953992962922478,178537,0,,1,4.0,17.0,80.0,1693.6,4,1,1,0,0,0,0,0,0,-1
1744953992983124103,178538,0,,1,4.0,17.0,80.0,1692.4,4,1,1,0,0,0,0,0,0,-1
1744953993003593198,178539,0,,1,4.0,17.0,80.0,1693.6,4,1,1,0,0,0,0,0,0,-1
1744953993024141395,178540,0,,1,4.0,17.0,80.0,1682.0,4,1,1,0,0,0,0,0,0,-1
1744953993043492138,178541,0,,1,4.0,17.0,80.0,1680.4,4,1,1,0,0,0,0,0,0,-1
1744953993062874886,178542,0,,1,4.0,17.0,80.0,1678.8,4,1,1,0,0,0,0,0,0,-1
1744953993082969973,178543,0,,1,3.0,17.0,80.0,1690.0,4,1,1,0,0,0,0,0,0,-1
1744953993103016756,178544,0,,1,3.0,17.0,80.0,1680.8,4,1,1,0,0,0,0,0,0,-1
1744953993122964264,178545,0,,1,3.0,17.0,80.0,1680.4,4,1,1,0,0,0,0,0,0,-1
1744953993142808037,178546,0,,1,3.0,17.0,80.0,1683.6,4,1,1,0,0,0,0,0,0,-1
1744953993162876621,178547,0,,1,3.0,17.0,80.0,1691.6,4,1,1,0,0,0,0,0,0,-1
1744953993182790651,178548,0,,1,3.0,17.0,80.0,1696.0,4,1,1,0,0,0,0,0,0,-1
1744953993203305080,178549,0,,1,3.0,17.0,80.0,1700.4,4,1,1,0,0,0,0,0,0,-1
1744953993222990184,178550,0,,1,3.0,17.0,80.0,1704.8,4,1,1,0,0,0,0,0,0,-1
1744953993242826944,178551,0,,1,3.0,17.0,80.0,1711.6,4,1,1,0,0,0,0,0,0,-1
1744953993262845683,178552,0,,1,3.0,17.0,80.0,1714.4,4,1,1,0,0,0,0,0,0,-1
