%time,field.header.seq,field.header.stamp,field.header.frame_id,field.unique_id,field.steer_angle,field.kph,field.wheel_speed,field.engine_rpm,field.gear_location,field.drivingMode,field.brake_pedal,field.accel_pedal,field.left_signal,field.right_signal,field.is_aeb,field.is_estop,field.is_emergency,field.cmd_vel
1744953835962861676,170687,0,,1,2.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953835982873110,170688,0,,1,2.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836002984422,170689,0,,1,2.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836024574885,170690,0,,1,2.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836043263405,170691,0,,1,2.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836062870382,170692,0,,1,2.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836083041916,170693,0,,1,2.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836102885931,170694,0,,1,2.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836122859923,170695,0,,1,2.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836142987918,170696,0,,1,2.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836163291826,170697,0,,1,2.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836183142205,170698,0,,1,2.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836202879390,170699,0,,1,2.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836224641799,170700,0,,1,2.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836242903545,170701,0,,1,2.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836262853670,170702,0,,1,2.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836283122618,170703,0,,1,2.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836302847512,170704,0,,1,2.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836327159874,170705,0,,1,2.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836343509252,170706,0,,1,2.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836362834234,170707,0,,1,2.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836382924132,170708,0,,1,2.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836402894791,170709,0,,1,2.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836422851953,170710,0,,1,2.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836443026993,170711,0,,1,2.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836462784343,170712,0,,1,2.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836482856144,170713,0,,1,2.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836502840481,170714,0,,1,2.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836522932668,170715,0,,1,2.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836543168872,170716,0,,1,2.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836563069874,170717,0,,1,3.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836582827036,170718,0,,1,4.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836603246792,170719,0,,1,5.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836622858142,170720,0,,1,6.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836642841183,170721,0,,1,6.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836662961665,170722,0,,1,7.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836682862496,170723,0,,1,7.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836703170309,170724,0,,1,7.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836722869864,170725,0,,1,7.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836743067020,170726,0,,1,8.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836762937894,170727,0,,1,8.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836783070381,170728,0,,1,7.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836804799186,170729,0,,1,7.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836822860304,170730,0,,1,7.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836842891464,170731,0,,1,7.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836862912515,170732,0,,1,8.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836882842571,170733,0,,1,8.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836903166935,170734,0,,1,8.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836922833695,170735,0,,1,7.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836942821121,170736,0,,1,8.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836962783815,170737,0,,1,8.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953836982770904,170738,0,,1,7.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953837002900979,170739,0,,1,8.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953837022969489,170740,0,,1,8.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953837043003939,170741,0,,1,8.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953837063081634,170742,0,,1,8.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953837082985303,170743,0,,1,8.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953837102958198,170744,0,,1,8.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953837123001947,170745,0,,1,7.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953837142882925,170746,0,,1,8.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744953837162907404,170747,0,,1,8.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
