%time,field.header.seq,field.header.stamp,field.header.frame_id,field.unique_id,field.steer_angle,field.kph,field.wheel_speed,field.engine_rpm,field.gear_location,field.drivingMode,field.brake_pedal,field.accel_pedal,field.left_signal,field.right_signal,field.is_aeb,field.is_estop,field.is_emergency,field.cmd_vel
1744954523762852248,205077,0,,1,-6.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954523783507911,205078,0,,1,-6.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954523803557010,205079,0,,1,-6.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954523823144030,205080,0,,1,-6.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954523842914482,205081,0,,1,-6.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954523862937811,205082,0,,1,-6.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954523883485742,205083,0,,1,-6.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954523903166771,205084,0,,1,-6.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954523922927107,205085,0,,1,-6.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954523943019830,205086,0,,1,-6.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954523962825389,205087,0,,1,-6.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954523982830842,205088,0,,1,-6.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954524003213486,205089,0,,1,-6.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954524023539270,205090,0,,1,-6.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954524043304964,205091,0,,1,-6.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954524063944191,205092,0,,1,-6.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954524083753789,205093,0,,1,-6.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954524102907543,205094,0,,1,-6.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954524123305928,205095,0,,1,-6.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954524143114849,205096,0,,1,-6.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954524162842449,205097,0,,1,-6.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954524182950768,205098,0,,1,-6.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954524203165050,205099,0,,1,-6.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954524222930414,205100,0,,1,-6.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954524245549621,205101,0,,1,-6.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954524262849960,205102,0,,1,-6.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954524282803545,205103,0,,1,-6.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954524302839120,205104,0,,1,-6.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954524322918906,205105,0,,1,-6.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954524342916533,205106,0,,1,-6.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
