%time,field.header.seq,field.header.stamp,field.header.frame_id,field.unique_id,field.steer_angle,field.kph,field.wheel_speed,field.engine_rpm,field.gear_location,field.drivingMode,field.brake_pedal,field.accel_pedal,field.left_signal,field.right_signal,field.is_aeb,field.is_estop,field.is_emergency,field.cmd_vel
1744954638803074089,210829,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954638822852998,210830,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954638843068226,210831,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954638862848379,210832,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954638882886774,210833,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954638903138599,210834,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954638922906607,210835,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954638943034321,210836,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954638963068934,210837,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954638982835287,210838,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639005265063,210839,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639023325827,210840,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639043089255,210841,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639063755945,210842,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639083219924,210843,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639104965159,210844,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639122885615,210845,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639143000451,210846,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639162843278,210847,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639182811254,210848,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639202810809,210849,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639222846973,210850,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639242871168,210851,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639262802526,210852,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639283212886,210853,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639302955461,210854,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639323158517,210855,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639342812040,210856,0,,1,-4.0,0.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639362812046,210857,0,,1,-4.0,1.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639382857352,210858,0,,1,-4.0,1.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639402867442,210859,0,,1,-4.0,1.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639422865598,210860,0,,1,-4.0,1.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639443004809,210861,0,,1,-4.0,1.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639462884160,210862,0,,1,-4.0,1.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639483294646,210863,0,,1,-4.0,2.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639502964308,210864,0,,1,-4.0,2.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639522911039,210865,0,,1,-4.0,2.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639542863972,210866,0,,1,-4.0,2.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639562885693,210867,0,,1,-4.0,2.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639582957664,210868,0,,1,-4.0,2.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639605534236,210869,0,,1,-4.0,2.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639625888531,210870,0,,1,-4.0,2.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639643778923,210871,0,,1,-4.0,2.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639662858750,210872,0,,1,-4.0,3.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639683083058,210873,0,,1,-4.0,3.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639702800866,210874,0,,1,-4.0,3.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639722914686,210875,0,,1,-4.0,3.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639742940284,210876,0,,1,-4.0,3.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639765920955,210877,0,,1,-4.0,3.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639782839996,210878,0,,1,-4.0,3.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639802816300,210879,0,,1,-4.0,3.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639822813764,210880,0,,1,-4.0,3.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639844230522,210881,0,,1,-4.0,3.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639862791467,210882,0,,1,-4.0,3.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639884400604,210883,0,,1,-4.0,3.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
1744954639903026759,210884,0,,1,-4.0,3.0,80.0,0.0,4,0,1,0,0,0,0,0,0,-1
